City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,vila,42.0304,-8.1588,2.49,82,1,1.84,PT,1670092292
168,walvis bay,-22.9575,14.5053,15.72,80,0,7.44,NA,1670092293
169,chuy,-33.6971,-53.4616,19.13,92,100,2.0,UY,1670092048
170,arlit,18.7369,7.3853,25.72,13,5,2.08,NE,1670092294
171,praia,14.9215,-23.5087,23.12,60,90,3.95,CV,1670092027
172,pedasi,7.5333,-80.0333,27.34,74,26,6.85,PA,1670092295
173,batticaloa,7.7102,81.6924,25.91,82,44,1.15,LK,1670092297
174,port hardy,50.6996,-127.4199,2.1,80,20,7.2,CA,1670092297
175,charlotte,35.2271,-80.8431,16.04,93,100,5.66,US,1670092273
176,vao,-22.6667,167.4833,24.93,90,98,4.44,NC,1670092299
177,tuktoyaktuk,69.4541,-133.0374,-3.0,80,100,18.01,CA,1670092172
178,yulara,-25.2406,130.9889,24.03,17,0,2.82,AU,1670092301
179,naron,43.5167,-8.1528,10.89,72,84,4.42,ES,1670092302
180,gazanjyk,39.2446,55.5154,2.94,31,100,6.93,TM,1670092302
181,new norfolk,-42.7826,147.0587,13.72,82,97,1.06,AU,1670092303
182,bengkulu,-3.8004,102.2655,23.64,90,100,1.65,ID,1670092269
183,kurilsk,45.2333,147.8833,1.69,68,100,6.7,RU,1670092304
184,loukhi,66.0764,33.0381,-5.06,93,100,2.01,RU,1670092305
185,jibuti,11.5,42.5,22.03,67,42,4.4,DJ,1670092305
186,mahebourg,-20.4081,57.7,24.16,78,40,1.54,MU,1670092013
187,khilok,51.3674,110.4676,-17.47,91,100,5.54,RU,1670092306
188,verkhnevilyuysk,63.4453,120.3167,-32.48,100,97,0.68,RU,1670092307
189,nilai,2.8169,101.7956,25.81,92,20,0.0,MY,1670092309
190,castro,-24.7911,-50.0119,23.51,80,100,1.93,BR,1670091715
191,harper,4.375,-7.7169,25.27,85,100,6.5,LR,1670092310
192,dunedin,-45.8742,170.5036,13.22,72,100,0.89,NZ,1670092311
193,barguzin,53.6167,109.6167,-17.55,97,100,1.39,RU,1670092311
194,havre,49.5833,0.3333,2.41,87,100,5.14,FR,1670092312
195,itaobim,-16.5667,-41.8333,23.87,86,99,1.5,BR,1670092313
196,yakeshi,49.2833,120.7333,-30.91,100,99,1.88,CN,1670092314
197,bagdarin,54.4333,113.6,-24.32,86,98,1.84,RU,1670092314
198,fort abbas,29.1925,72.8536,18.53,25,1,2.52,PK,1670092315
199,fukue,32.6881,128.8419,14.28,79,100,8.39,JP,1670092316
200,torbay,47.6666,-52.7314,2.09,66,75,3.09,CA,1670092282
201,obo,5.3998,26.4869,25.16,46,92,0.67,CF,1670092316
202,broken hill,-31.95,141.4333,21.99,34,0,3.78,AU,1670092311
203,kenai,60.5544,-151.2583,-7.7,87,0,2.06,US,1670092305
204,berlevag,70.8578,29.0864,-4.0,80,33,10.8,NO,1670092318
205,babynino,54.39,35.73,-7.14,88,100,4.35,RU,1670092319
206,northam,51.0333,-4.2167,6.88,81,85,6.98,GB,1670092320
207,mar del plata,-38.0023,-57.5575,28.79,71,0,6.17,AR,1670092090
208,sueyoshi,31.65,131.0167,11.8,95,100,1.54,JP,1670092320
209,magole,-6.3667,37.3667,23.21,78,4,2.16,TZ,1670092321
210,goma,-1.6792,29.2228,17.01,89,98,1.61,CD,1670092322
211,thompson,55.7435,-97.8558,-24.91,77,0,4.63,CA,1670092151
212,truro,50.2653,-5.0544,6.6,75,20,4.63,GB,1670092323
213,atambua,-9.1061,124.8925,22.43,79,15,1.52,ID,1670092318
214,bandarbeyla,9.4942,50.8122,25.64,70,5,8.94,SO,1670092324
215,sisimiut,66.9395,-53.6735,-3.43,74,100,10.91,GL,1670092272
216,pevek,69.7008,170.3133,-17.77,77,76,5.37,RU,1670092325
217,palimbang,6.2106,124.1894,25.4,84,82,1.86,PH,1670092326
218,matara,5.9485,80.5353,24.36,88,95,1.17,LK,1670092327
219,bow island,49.8668,-111.3684,-1.9,63,6,4.12,CA,1670092327
220,hithadhoo,-0.6,73.0833,28.06,71,100,6.53,MV,1670092328
221,los llanos de aridane,28.6585,-17.9182,17.86,63,40,2.24,ES,1670092329
222,vilyuysk,63.7553,121.6247,-34.6,100,100,0.61,RU,1670092329
223,port lincoln,-34.7333,135.8667,21.47,42,97,4.07,AU,1670092224
224,saldanha,-33.0117,17.9442,17.03,70,100,11.09,ZA,1670092312
225,huarmey,-10.0681,-78.1522,22.61,73,11,4.38,PE,1670092078
226,aksu,41.1231,80.2644,-5.39,28,83,0.74,CN,1670092332
227,mogoytuy,51.2833,114.9167,-17.91,82,14,6.46,RU,1670092332
228,meulaboh,4.1363,96.1285,23.58,88,100,1.83,ID,1670092333
229,samarai,-10.6167,150.6667,25.9,82,100,2.32,PG,1670092334
230,aswan,24.0934,32.907,20.68,25,100,4.45,EG,1670092334
231,riyadh,24.6877,46.7219,20.08,33,0,3.39,SA,1670092236
232,saint anthony,45.0205,-93.218,-10.19,66,0,6.17,US,1670092231
233,khani,41.9563,42.9566,3.76,95,100,1.44,GE,1670092266
234,oskarshamn,57.2645,16.4484,2.77,77,100,4.91,SE,1670092336
235,labuhan,-6.8844,112.2051,25.21,88,100,2.87,ID,1670092337
236,sembe,1.6481,14.5806,22.03,96,100,0.44,CG,1670092338
237,tototlan,20.55,-102.8,26.85,24,4,1.23,MX,1670092338
238,ayr,55.4627,-4.6339,4.62,87,20,3.09,GB,1670092339
239,ribeira brava,32.65,-17.0667,17.35,82,54,5.48,PT,1670092340
240,abu samrah,35.3029,37.1841,13.97,72,91,1.62,SY,1670092340
241,vardo,70.3705,31.1107,-2.01,86,100,2.06,NO,1670092108
242,teshie,5.5836,-0.1072,29.31,79,0,3.6,GH,1670092341
243,khartoum,15.5518,32.5324,29.45,34,5,4.57,SD,1670092246
244,moron,-34.6534,-58.6198,30.53,45,16,2.71,AR,1670092342
245,alpharetta,34.0754,-84.2941,16.0,94,100,1.43,US,1670092207
246,georgetown,5.4112,100.3354,26.8,94,20,1.03,MY,1670092344
247,mao,39.8885,4.2658,10.31,93,20,2.57,ES,1670092292
248,aitape,-3.1374,142.3475,25.59,88,100,3.55,PG,1670092345
249,sharkan,57.2989,53.8712,-16.34,92,93,1.55,RU,1670092345
250,douglas,41.3,-96.167,-3.01,50,0,2.57,US,1670092227
251,itoman,26.1247,127.6694,22.21,83,76,7.72,JP,1670092346
252,kupang,-10.1667,123.5833,24.58,78,100,2.37,ID,1670092348
253,betafo,-19.8333,46.85,19.13,75,100,1.12,MG,1670092348
254,vila velha,-20.3297,-40.2925,22.97,99,100,1.03,BR,1670092349
255,pacific grove,36.6177,-121.9166,12.58,93,100,0.45,US,1670092307
256,kendari,-3.945,122.4989,23.66,94,100,1.55,ID,1670092352
257,saskylakh,71.9167,114.0833,-14.64,91,100,10.97,RU,1670092080
258,sorong,-0.8833,131.25,26.02,84,100,3.02,ID,1670092234
259,balkhash,46.844,74.9804,-8.56,88,100,3.48,KZ,1670092353
260,beringovskiy,63.05,179.3167,-2.38,97,100,10.72,RU,1670092354
261,sigli,5.3848,95.9609,25.64,80,100,2.16,ID,1670092355
262,coihaique,-45.5752,-72.0662,17.34,55,75,3.09,CL,1670092355
263,la macarena,2.1837,-73.7849,31.84,43,98,3.52,CO,1670092356
264,pelym,61.0108,61.9978,-14.69,90,100,2.44,RU,1670092356
265,gotsu,35.0,132.2167,11.04,70,100,3.16,JP,1670092357
266,juba,4.8517,31.5825,29.82,32,38,2.0,SS,1670092358
267,ahrensburg,53.6833,10.25,1.56,87,100,2.06,DE,1670092358
268,acari,-15.4311,-74.6158,27.51,47,0,5.4,PE,1670092359
269,arman,59.7,150.1667,-17.77,91,92,3.59,RU,1670092360
270,pemangkat,1.1667,108.9667,25.31,87,100,2.4,ID,1670092361
271,gat,31.61,34.7642,19.11,50,79,1.71,IL,1670092325
272,kadyy,57.787,43.1903,-13.14,97,100,1.74,RU,1670092362
273,port-gentil,-0.7193,8.7815,24.98,79,40,2.57,GA,1670092362
274,sorland,67.667,12.6934,3.92,71,100,6.61,NO,1670092208
275,gombong,-7.6072,109.5142,24.91,87,95,0.5,ID,1670092364
276,yagodnoye,62.55,149.6667,-36.34,96,17,1.93,RU,1670092365
277,pisco,-13.7,-76.2167,21.03,78,0,5.14,PE,1670092366
278,altay,47.8667,88.1167,-16.37,64,0,3.53,CN,1670092367
279,maumere,-8.6199,122.2111,26.66,74,66,1.71,ID,1670092084
280,itarema,-2.9248,-39.9167,28.98,62,11,8.18,BR,1670092368
281,tatawin,32.9297,10.4518,15.11,26,0,3.17,TN,1670092368
282,madaoua,14.073,5.96,28.16,18,7,3.23,NE,1670092369
283,sakakah,29.9697,40.2064,16.76,69,71,4.28,SA,1670092369
284,maine-soroa,13.2114,12.0241,27.21,19,0,3.79,NE,1670092370
285,zyryanka,65.75,150.85,-39.13,99,15,2.73,RU,1670092371
286,olafsvik,64.8945,-23.7142,4.53,81,27,1.7,IS,1670092098
287,nemuro,43.3236,145.575,2.57,89,39,8.09,JP,1670092372
288,richards bay,-28.783,32.0377,20.89,78,100,3.75,ZA,1670092159
289,acarau,-2.8856,-40.12,29.44,61,17,8.59,BR,1670092373
290,senno,59.5336,33.9167,-5.94,82,100,4.44,RU,1670092373
291,kefamenanu,-9.4467,124.4781,20.63,85,11,1.03,ID,1670092374
292,hachinohe,40.5,141.5,3.76,96,100,1.57,JP,1670092375
293,carnarvon,-24.8667,113.6333,20.83,81,0,8.16,AU,1670092376
294,plettenberg bay,-34.0527,23.3716,16.16,66,100,1.09,ZA,1670092377
295,asfi,32.2994,-9.2372,17.39,77,31,3.72,MA,1670092272
296,port blair,11.6667,92.75,28.02,83,40,3.09,IN,1670092378
297,iranshahr,27.2025,60.6848,17.19,23,0,2.06,IR,1670092319
298,maragogi,-9.0122,-35.2225,26.56,76,61,5.13,BR,1670092289
299,pangnirtung,66.1451,-65.7125,-14.0,66,75,3.6,CA,1670092379
300,rio grande,-32.035,-52.0986,26.06,90,96,5.59,BR,1670092380
